CustomerID,Gender,Age,Items Purchased,Category,Purchase Amount,Shipping Type,Subscription Status,Season,Country,Age Group
1,Male,18,Blouse,Clothing,50,Express,Yes,Spring,United States,Under 18
2,Male,20,Sweater,Clothing,25,Free Shipping,No,Summer,United States,18-24
3,Female,35,Jeans,Clothing,15,Next Day Air,Yes,Fall,United States,25-34
4,Female,45,Sandals,Footwear,69,2-Day Shipping,No,Winter,United States,35-44
5,Female,60,Blouse,Clothing,85,2-Day Shipping,Yes,Winter,United States,55-64
6,Female,22,Sneakers,Footwear,12,2-Day Shipping,No,Winter,United States,25-34
7,Female,24,Shirt,Clothing,100,2-Day Shipping,Yes,Winter,United States,25-34
8,Female,68,Shorts,Clothing,23,2-Day Shipping,No,Winter,France,65+
9,Male,53,Coat,Outerwear,14,2-Day Shipping,Yes,Winter,France,55-64
10,Female,74,Handbag,Accessories,25,2-Day Shipping,No,Winter,United States,65+
11,Male,55,Sunglasses,Accessories,41,2-Day Shipping,Yes,Winter,France,55-64
12,Female,51,Scarf,Accessories,22,2-Day Shipping,No,Winter,France,55-64
13,Female,42,Blouse,Clothing,63,2-Day Shipping,Yes,Winter,France,35-44
14,Female,47,Jeans,Clothing,98,2-Day Shipping,Yes,Winter,France,55-64
15,Male,48,Sandals,Footwear,99,2-Day Shipping,No,Winter,France,55-64
16,Male,60,Blouse,Clothing,65,2-Day Shipping,Yes,Winter,Algeria,55-64
17,Female,22,Sneakers,Footwear,35,2-Day Shipping,No,Winter,Algeria,25-34
18,Male,21,Shirt,Clothing,85,2-Day Shipping,Yes,Winter,Algeria,25-34
20,Female,23,Coat,Outerwear,74,2-Day Shipping,Yes,Winter,Algeria,25-34
21,Male,25,Handbag,Accessories,52,Express,No,Winter,France,25-34
22,Male,25,Sunglasses,Accessories,22,Express,Yes,Winter,United States,25-34
23,Female,26,Scarf,Accessories,21,Express,No,Winter,United States,25-34
24,Male,28,Blouse,Clothing,45,Express,Yes,Winter,United States,25-34
25,Female,27,Sweater,Clothing,77,Express,No,Winter,United States,25-34
26,Male,29,Jeans,Clothing,50,Express,Yes,Winter,United States,25-34
27,Female,21,Sandals,Footwear,25,Express,No,Winter,United States,25-34
28,Male,24,Blouse,Clothing,15,Express,Yes,Winter,United States,25-34
29,Female,25,Sneakers,Footwear,69,Express,No,Winter,United States,25-34
30,Female,26,Shirt,Clothing,85,Express,Yes,Winter,United States,25-34
31,Male,23,Shorts,Clothing,12,Express,No,Winter,United States,25-34
32,Female,25,Coat,Outerwear,100,Express,Yes,Winter,United States,25-34
33,Male,33,Handbag,Accessories,23,Next Day Air,No,Winter,United States,25-34
34,Male,33,Sunglasses,Accessories,14,Next Day Air,Yes,Winter,United States,25-34
35,Female,36,Scarf,Accessories,25,Next Day Air,No,Winter,United States,35-44
36,Female,25,Blouse,Clothing,41,Next Day Air,Yes,Winter,United States,25-34
37,Female,36,Sweater,Clothing,22,Next Day Air,No,Winter,United States,35-44
38,Female,39,Jeans,Clothing,63,Next Day Air,Yes,Winter,United States,35-44
39,Female,38,Sandals,Footwear,55,Next Day Air,No,Winter,United States,35-44
40,Female,22,Blouse,Clothing,98,Next Day Air,Yes,Winter,United States,25-34
42,Male,22,Shirt,Clothing,65,Next Day Air,Yes,Winter,United States,25-34
43,Male,22,Shorts,Clothing,35,Next Day Air,No,Winter,United States,25-34
44,Female,22,Coat,Outerwear,85,Next Day Air,Yes,Winter,United States,25-34
45,Female,22,Handbag,Accessories,96,Next Day Air,No,Winter,United States,25-34
46,Female,22,Sunglasses,Accessories,74,Next Day Air,Yes,Winter,United States,25-34
47,Female,22,Scarf,Accessories,52,Next Day Air,No,Winter,United States,25-34
48,Female,22,Blouse,Clothing,22,Next Day Air,Yes,Winter,United States,25-34
49,Female,22,Sweater,Clothing,21,Next Day Air,No,Winter,United States,25-34
50,Female,22,Jeans,Clothing,45,Next Day Air,Yes,Winter,United States,25-34
51,Female,22,Sandals,Footwear,77,Next Day Air,No,Winter,United States,25-34
52,Male,22,Blouse,Clothing,50,Next Day Air,Yes,Winter,United States,25-34
53,Female,22,Sneakers,Footwear,25,Next Day Air,No,Winter,United States,25-34
54,Male,22,Shirt,Clothing,15,Next Day Air,Yes,Winter,United States,25-34
55,Female,22,Shorts,Clothing,69,Next Day Air,No,Winter,United States,25-34
56,Male,22,Coat,Outerwear,85,Next Day Air,Yes,Winter,United States,25-34
57,Female,22,Handbag,Accessories,12,Next Day Air,No,Winter,United States,25-34
58,Male,22,Sunglasses,Accessories,100,Next Day Air,Yes,Winter,United States,25-34
59,Female,22,Scarf,Accessories,23,Next Day Air,No,Winter,United States,25-34
60,Male,22,Sweater,Clothing,25,Next Day Air,No,Winter,United States,25-34
61,Male,22,Jeans,Clothing,41,Next Day Air,Yes,Winter,United States,25-34
62,Male,22,Sandals,Footwear,22,Next Day Air,No,Winter,United States,25-34
63,Female,22,Blouse,Clothing,63,Next Day Air,Yes,Winter,United States,25-34
64,Female,22,Sneakers,Footwear,55,Next Day Air,No,Winter,United States,25-34
65,Male,22,Shirt,Clothing,98,Next Day Air,Yes,Winter,United States,25-34
66,Male,22,Shorts,Clothing,99,Next Day Air,No,Winter,United States,25-34
67,Female,22,Coat,Outerwear,65,Next Day Air,Yes,Winter,United States,25-34
68,Female,22,Handbag,Accessories,35,Next Day Air,No,Winter,United States,25-34
69,Male,22,Sunglasses,Accessories,85,Next Day Air,Yes,Winter,United States,25-34
70,Female,22,Scarf,Accessories,96,Next Day Air,No,Winter,United States,25-34
71,Male,22,Blouse,Clothing,74,Next Day Air,Yes,Winter,United States,25-34
72,Female,22,Sweater,Clothing,52,Next Day Air,No,Winter,United States,25-34
73,Female,22,Jeans,Clothing,22,Next Day Air,Yes,Winter,United States,25-34
74,Female,22,Sandals,Footwear,21,Next Day Air,No,Winter,United States,25-34
75,Male,22,Blouse,Clothing,45,Next Day Air,Yes,Winter,United States,25-34
76,Male,22,Sneakers,Footwear,77,Next Day Air,No,Winter,United States,25-34
77,Female,22,Shirt,Clothing,50,Next Day Air,Yes,Winter,United States,25-34
78,Male,22,Shorts,Clothing,25,Next Day Air,No,Winter,United States,25-34
79,Female,22,Coat,Outerwear,15,Next Day Air,Yes,Winter,United States,25-34
80,Female,22,Handbag,Accessories,69,Next Day Air,No,Winter,United States,25-34
81,Male,22,Sunglasses,Accessories,85,Next Day Air,Yes,Winter,United States,25-34
82,Male,22,Scarf,Accessories,12,Next Day Air,No,Winter,United States,25-34
83,Male,22,Blouse,Clothing,100,Next Day Air,Yes,Winter,United States,25-34
84,Female,22,Sweater,Clothing,23,Next Day Air,No,Winter,United States,25-34
85,Female,22,Jeans,Clothing,14,Next Day Air,Yes,Winter,United States,25-34
